raw_spot__row	1	2	3	4	5	6	7	8	9	10	11	12
1	2.237	1.323	1.339	1.213	1.01	0.85	0.882	0.939	0.923	0.722	0.514	0.32
2	1.97	1.235	1.283	1.278	1.092	0.975	0.933	1.12	0.924	0.744	0.513	0.307
3	1.647	2.608	2.212	1.457	1.346	1.258	1.306	1.036	0.717	0.312	0.178	0.124
4	1.775	2.129	2.266	1.459	1.187	1.393	1.482	1.09	0.535	0.342	0.196	0.255
5	1.204	0.989	0.919	0.656	0.636	0.634	0.616	0.551	0.499	0.312	0.298	0.123
6	1.318	1.022	1.001	0.828	0.764	0.762	0.847	0.557	0.47	0.293	0.171	0.102
7	0.17	0.054	0.057	0.12	0.185	0.09	0.298	0.12	0.109	0.121	0.307	0.126
8	0.046	0.072	0.208	0.043	0.102	0.059	0.145	0.072	0.077	0.066	0.055	0.185
