raw_spot__row	1	2	3	4	5	6	7	8	9	10	11	12
1	2.591	1.408	1.537	1.288	1.191	1.118	0.942	0.874	0.814	0.726	0.533	0.538
2	2.525	1.4	1.573	1.397	1.248	1.187	0.922	0.905	0.657	0.574	0.587	0.387
3	3.5	2.386	1.295	0.967	0.758	0.864	0.789	0.675	0.42	0.314	0.353	0.249
4	3.322	2.584	1.403	0.847	0.706	0.81	0.826	0.72	0.467	0.369	0.354	0.272
5	1.098	0.971	0.931	0.743	0.56	0.513	0.515	0.539	0.391	0.257	0.197	0.112
6	1.423	0.995	0.861	0.708	0.562	0.621	0.533	0.568	0.368	0.265	0.186	0.127
7	0.708	0.171	0.119	0.104	0.089	0.095	0.087	0.104	0.067	0.073	0.074	0.069
8	1.2	0.198	0.107	0.098	0.08	0.07	0.074	0.075	0.07	0.065	0.071	0.166
