Row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	1067054	1233925	1410680	1425641	1343565	1151826	1155408	1169721	1195901	829310	758601	523500	738006	450283	473812
2	42683700	2187265	4850584	1628940	1726538	1110046	1934122	1714644	1586693	1042920	1167795	13754847	40997277	1307965	49155643
3	1846224	1904143	3044733	1356611	13184275	1340658	4438270	1464208	2921732	1042031	1732799	1100562	2436701	1664094	603926
4	1993367	1353071	3272034	1260458	1243067	2914614	1774302	12828130	1722452	1088435	19248872	19142264	1133491	49402261	653721
5	2417797	1979518	2435264	1562940	936254	2959395	2223025	1076430	1248103	1319688	1402613	3899668	2136811	1430909	551431
6	1253981	5759185	5200642	1503482	842740	2356798	1315738	1082259	2303707	6549915	1478680	2697868	1569350	1999665	452448
7	2385896	1132425	1109067	982052	806244	992383	848751	997439	1287005	1038456	1094412	1792617	1647178	10633738	4098463
8	809704	936857	843770	27458818	1895177	5221650	945859	1171697	835963	1602003	1822749	2262816	1442095	3396516	23906390
9	19125953	4972794	42980898	1281159	1763801	2775129	707206	6617433	761778	6551918	1145054	2233826	1139621	1469927	2134900
10	2439730	3056495	1940693	1506188	1142686	2707604	800705	805272	1060963	1105298	10484841	1740582	1064019	30434081	28149141
11	1230912	39346515	1317324	1501221	1725454	1952358	701829	923228	1662651	1059545	1298903	1600008	1552152	1102177	3662678
12	774039	1078990	1308619	676651	3679880	6100142	840455	640793	2032660	964574	1123130	2179153	5843421	1042931	1049990
13	1049352	818041	708925	1414619	908861	1282383	752086	627383	1380106	757884	1004762	1320919	1326388	1101998	2123435
14	914410	768331	698212	662799	1035308	2444780	33808747	1687115	5354245	1118361	1553585	991205	1768924	1707918	1820225
15	800794	1000167	30464165	38894535	2133458	63918400	1529356	2345257	2636868	738812	7049644	961353	4384394	1171596	2056385
16	812577	1440754	2961630	4624872	2717309	4112929	2501496	803272	6673395	670545	1222178	1467217	1296797	12549233	1971165
17	720074	29008029	26762342	8177392	57586311	1031487	3720547	1484959	1749979	682545	942918	1779439	1382504	1161725	1245850
18	839686	1410438	2914973	1039006	22103483	1531487	656731	3921038	1386722	749713	739000	1824816	954767	897375	1471632
19	2037111	873619	837753	1585856	8439809	648366	1747508	617034	518556	993552	602993	1106656	1222936	885725	775647
20	1034363	1010586	727181	529228	519820	643252	921854	545364	815621	35162015	1309036	3121149	1326930	1527786	733175
21	1413002	1102941	1248094	717950	1567143	28734741	41436558	1377293	55281818	1365085	1452844	2238429	817565	2702673	832320
22	3051238	1865886	2557989	769228	2461910	3339413	11114310	1519347	1014829	1563104	853040	11134532	976840	853380	826682
23	1595957	6698761	1271395	842279	33040989	34841320	2201240	47757965	1251650	2290739	1833061	1770924	1073118	1336602	1591107
24	1723917	1357532	2015118	1362778	10062244	4662694	1164698	32812365	884099	711252	1433845	1496698	926131	773968	1653025
25	1082936	989580	1494075	3533757	1012743	1012229	1931411	724444	918230	1235912	698960	721516	1054830	883651	808321
26	769273	965969	776394	808497	786965	773286	439216	438388	577727	470594	571232	628776	9381379	1795705	3651425
27	821922	1177036	522997	882561	615043	1041813	470702	524111	28326246	17981188	1236415	47154806	1176378	1319982	2335283
28	776577	9813406	576295	2845595	1013075	1542684	447520	1021998	951523	1850603	1151210	429808	1191501	792342	9603672
29	683451	602600	614102	581444	1773775	900029	419345	22595200	14239334	919275	46931692	826338	5128987	1104516	1569043
30	723113	666231	1060872	1082783	621823	658570	755376	1391759	1231971	685023	570643	649529	474345	6218248	2848925
31	699306	523270	1495120	4913742	688862	1121410	1726094	704064	902552	909266	627322	520294	916158	443319	812110
32	686985	626099	935355	920674	714651	720607	558886	543121	499716	554236	418494	503149	448737	503767	1737522
33	1537630	1285962	3625212	652965	3370919	506569	933040	846284	1072415	707605	633262	31134068	3027248	1166886	45113780
34	1067415	1414961	1888670	490445	3193807	519201	4253123	1213774	1618093	554217	1051984	1006122	11118087	1395133	1391133
35	1201166	697627	15617093	521168	687388	677636	1146116	2003927	869657	488859	22795923	16052735	14125827	45473704	801513
36	1783249	1207734	1095539	637032	638336	1108490	1602589	725356	1029641	884644	1137956	2070217	991882	956852	455114
37	761722	6494478	3146249	608721	478430	1569864	5785302	773117	1425670	2261396	1009833	813889	1165962	602477	357561
38	1112729	630757	1064452	642541	499107	908426	1780668	863069	662419	588595	758372	781416	1185129	544294	506323
39	640377	562385	1336665	4644568	1615829	3425410	1889794	16225929	702217	1059485	1792490	1277351	1035540	1042468	16754407
40	22020484	1355788	55931394	852306	1681364	1593888	672548	4511791	662487	3496908	1037218	1557368	872385	1160087	981154
41	1887492	1419991	1060921	1475684	631758	11550388	714578	1864138	952018	792937	2333811	964807	759620	14976645	19121421
42	777969	47788611	800035	1205549	885131	969369	1081131	1030415	1324408	941281	610770	798521	847473	893834	984202
43	521915	530426	525582	413537	8542412	2539888	746035	635753	1601390	1984404	546463	1217009	2139508	757248	733422
44	598689	501188	434827	655074	657068	1637412	606855	530857	601735	751581	526909	600347	651847	1137828	628823
45	500649	427201	437121	610698	615331	1006164	11690583	1169387	3625024	861131	9241892	541572	786559	1958506	1149753
46	513449	726392	17513534	32855562	953153	48067207	794877	1154330	1599620	506954	1346819	476036	2190839	855654	1165082
47	838796	974138	875744	1943904	1239413	1730981	1051718	763536	7509589	526108	1582108	723673	837947	2845210	796941
48	1126594	18901093	31318573	755832	43142043	886412	1015073	933874	1032478	513293	1347930	861703	731491	533553	684346
49	726484	711751	1492706	470481	640026	977103	513078	8666615	1773080	594457	402348	1293084	801927	437186	2043809
50	2962396	621717	664619	514652	443872	428597	616022	727002	2110527	503581	426415	494576	424427	757325	616921
51	515348	586373	567768	512448	407637	680603	566717	638204	1107462	6395190	1363679	2898424	580448	1909133	1365950
52	747959	1138532	910038	563416	661813	8471539	36727975	904772	55467605	628070	862255	1569617	509458	539965	1267980
53	1627266	637242	1548935	722770	883083	772382	1356579	1439017	487856	1050751	632833	6241049	491813	694937	951313
54	506523	1081952	1117539	491825	17321609	21485323	539079	38583409	487935	965273	688179	1203480	607845	1029692	1047562
55	816820	678640	659198	636144	848297	799103	560227	372951	448108	363080	2419651	1517246	942538	1008042	3958705
56	39954368	858759	1550100	2780192	511255	753372	718427	455988	398729	419176	447167	1801550	1476271	1917093	1066603
57	766593	1309269	908002	514997	544271	671213	1096112	591049	495169	434612	459389	509836	2036631	2502239	1316666
