Row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	9333914	3794610	3611300	4579221	3056730	2823313	2998130	2308769	2855992	2390123	982184	759870	682342	522050	3586907
2	63034167	12423785	3897631	46605387	50215440	5964464	2627110	3247091	9952604	2524344	1493070	55149553	59242207	6816107	63446770
3	15580011	29027858	5093560	60994976	56107468	4625444	37968748	36261989	34481875	10235001	16690876	11183105	2858481	1487656	1261542
4	115484722	20358345	25853031	7076658	14109998	11532856	22709101	21976455	30258939	22754286	57445480	45868852	18634322	49941344	3308965
5	30163115	32375899	2975477	2937921	3745095	39392309	26021029	7357991	35379052	14541588	23389978	6142314	2066948	3771549	555261
6	7691601	7800654	32146776	4751667	3063350	14425523	6154715	4510980	21294632	9657743	6684738	2987433	1353078	803255	1185403
7	3935528	3893159	4566117	26135183	4331456	2129679	8755335	3827675	15214399	10554063	5824082	2024315	986307	624533	9244482
8	43621161	4736985	4766121	77635213	22482996	7222534	70033245	53050022	18681641	13583198	9731518	8089226	2865268	2320562	49762264
9	88925168	25327702	62081392	44591158	52395340	9934761	65167293	64964663	12443247	45322296	30084194	24521605	4520309	19578384	10253644
10	7218523	7885204	10041584	119480961	40998694	47487248	10269685	18281116	19674602	33846291	24892941	17802413	5319052	51704961	39175290
11	10892786	39762321	25533915	33961357	41476475	8702437	5627083	4312556	42559622	36922107	16595044	19022508	2017740	21766373	4003385
12	3309852	6225873	10024568	11735262	12112362	52376154	5972480	4600494	20655811	19804230	15324341	10991179	2219704	4457166	1286580
13	3810193	7261209	7800347	7608438	8693547	7137324	10045944	5217858	4443947	18258241	16729205	10135926	2135847	3973021	1895006
14	5245449	8150189	10062935	9214981	6929448	8416373	77549560	28203970	6621057	65705889	65364554	14110482	6640825	8090437	4915637
15	7622141	11472178	78901313	85076881	54613793	79012655	46297352	72937934	14100872	70574421	66528120	12279509	52911527	34502682	20632860
16	7470123	39443401	46245715	36140397	13383824	7718174	125020979	55754914	50584058	16070324	27394711	19300369	41161051	29666503	20816407
17	8554966	75453023	61698373	63767116	61947397	25656233	46163071	65648967	8952613	6780794	6202968	50881706	43377217	20554614	20502963
18	6498463	44930575	24507514	19443121	14291482	7601548	8025299	18610859	54671699	12479295	5516796	19631305	30501847	16697431	12039062
19	14375105	14114371	5676982	8272728	6028620	5945992	6017089	12798092	8828796	8010681	5748081	4851109	24719204	15104603	8779723
20	9553733	11247735	7522328	5145036	6738579	5087507	9207604	10553068	9152811	65809948	32549669	16360764	71855809	67381875	11071713
21	33668710	18310414	14869925	9637414	9628757	79235531	70032030	43567296	70323450	51350561	83541620	16842437	75250226	63850525	7432574
22	56423655	58296913	43278716	18314177	56370517	46682721	19292851	13596952	11811187	122227508	54644963	44705761	33927892	27992392	7332623
23	9229184	15572721	38158155	26607240	77601905	78276046	56575402	54466850	39531814	15201384	37142746	14866054	33284133	27001381	36326043
24	31111667	12885418	45140079	26551874	43630370	33903294	4808080	5501701	10733886	10944995	20899336	49087222	40779347	29346477	18855855
25	2129293	20919749	20580164	63622931	20695509	14841329	7687425	2968776	7080106	10249692	18433123	28322508	39075283	36060141	7818940
