raw_spot__row	1	2	3	4	5	6	7	8	9	10	11	12
1	2.305	1.838	2.143	2.232	2.241	2.28	2.292	2.177	2.346	2.161	1.868	1.389
2	2.203	1.856	2.114	2.323	2.276	2.186	2.211	2.246	2.288	2.183	1.879	1.484
3	2.814	2.5	2.436	2.425	2.414	2.428	2.472	2.533	2.311	1.99	1.675	1.22
4	2.765	2.477	2.385	2.361	2.307	2.36	2.432	2.497	2.253	1.964	1.561	1.289
5	1.966	1.662	1.853	2.114	1.947	1.897	1.946	1.885	1.982	1.78	1.352	1.023
6	1.918	1.622	1.702	2.031	1.907	1.926	1.941	1.927	1.945	1.76	1.367	1.07
7	2.508	2.469	2.555	2.592	2.585	2.625	2.553	2.473	2.217	1.992	1.728	1.36
8	2.531	2.564	2.599	2.717	2.618	2.631	2.563	2.5	2.183	1.942	1.57	1.234
