raw_spot__row	1	2	3	4	5	6	7	8	9	10	11	12
1	1.434	0.726	0.944	0.507	0.467	0.403	0.464	0.712	0.6	0.499	0.359	0.26
2	1.34	0.701	1.042	0.538	0.455	0.417	0.403	0.613	0.616	0.507	0.385	0.203
3	1.627	1.168	0.872	0.684	0.612	0.52	0.6	0.732	0.63	0.451	0.277	0.147
4	1.653	1.182	0.935	0.676	0.542	0.536	0.557	0.73	0.654	0.492	0.298	0.136
5	2.148	1.583	0.923	0.639	0.531	0.569	0.577	0.462	0.283	0.167	0.117	0.087
6	2.003	1.627	0.893	0.64	0.502	0.6	0.577	0.468	0.278	0.173	0.115	0.079
7	0.092	0.076	0.053	0.038	0.042	0.04	0.036	0.034	0.042	0.032	0.035	0.059
8	0.114	0.089	0.092	0.07	0.087	0.096	0.091	0.063	0.086	0.08	0.068	0.08
