	sid	labeling	concentration	buffer	ph	purity	produced_by	production_date	comment	ligand
0	AK025		0.25							A001
1	AK050		0.5							A001
2	AK100		1							A001
	1.0_Ak_28666		1							Ak_28666
	0.5_Ak_28666		0.5							Ak_28666
	0.25_Ak_28666		0.25							Ak_28666
	1.0_AK_28667		1							AK_28667
	0.5_AK_28667		0.5							AK_28667
	0.25_AK_28667		0.25							AK_28667
	1.0_AK_28665		1							AK_28665
	0.5_AK_28665		0.5							AK_28665
	0.25_AK_28665		0.25							AK_28665
