step	index	user	start	comment	image	intensities
IA02	0	ssaenger				
B01	1	ssaenger				
I05	2	ssaenger				
W005	3	ssaenger				
W005	4	ssaenger				
W005	5	ssaenger				
I13	6	ssaenger				
W005	7	ssaenger				
W005	8	ssaenger				
W005	9	ssaenger				
I11	10	ssaenger				
I12	11	ssaenger				
SC03	12	ssaenger				intensity.tsv
