ID	Block	Row	Column	Name	row_factor	column_factor
167	2	8	51	KLOA025	0	1
168	2	9	51	NO	0	1
169	2	10	51	0.5_pep50	0	1
170	2	11	51	0.5_pep16	0	1
171	2	12	51	1.0_pep13	0	1
172	2	13	51	0.25_pep10	0	1
173	2	14	51	0.5_pep52	0	1
174	2	15	51	0.25_pep7	0	1
175	2	16	51	0.5_pep40	0	1
176	2	1	52	Ach1	0	1
177	2	2	52	1.0_pep39	0	1
178	2	3	52	1.0_pep47	0	1
179	2	4	52	0.25_pep41	0	1
180	2	5	52	1.0_pep44	0	1
181	2	6	52	NEN025	0	1
182	2	7	52	1.0_Ak_28666	0	1
183	2	8	52	1.0_pep48	0	1
184	2	9	52	1.0_pep49	0	1
185	2	10	52	NEN050	0	1
186	2	11	52	0.5_pep12	0	1
187	2	12	52	0.25_pep63	0	1
188	2	13	52	1.0_pep52	0	1
189	2	14	52	1.0_pep50	0	1
190	2	15	52	Pan3	0	1
191	2	16	52	NO	0	1
192	2	1	53	0.5_pep10	0	1
193	2	2	53	0.25_pep50	0	1
194	2	3	53	0.25_pep49	0	1
195	2	4	53	0.5_pep57	0	1
196	2	5	53	1.0_pep55	0	1
197	2	6	53	Wasser	0	1
198	2	7	53	1.0_pep14	0	1
199	2	8	53	1.0_pep56	0	1
200	2	9	53	Pan3	0	1
201	2	10	53	1.0_Christian	0	1
202	2	11	53	NO	0	1
203	2	12	53	Ach1	0	1
204	2	13	53	0.25_pep40	0	1
205	2	14	53	0.25_pep11	0	1
206	2	15	53	0.25_pep52	0	1
207	2	16	53	Cal2	0	1
208	2	1	54	NO	0	1
209	2	2	54	0.5_pep61	0	1
210	2	3	54	0.5_pep13	0	1
211	2	4	54	Puffer	0	1
212	2	5	54	0.25_pep48	0	1
213	2	6	54	1.0_pep8	0	1
214	2	7	54	NO	0	1
215	2	8	54	0.5_pep44	0	1
216	2	9	54	Ach1	0	1
217	2	10	54	1.0_pep7	0	1
218	2	11	54	0.5_AK_28667	0	1
219	2	12	54	0.25_pep44	0	1
220	2	13	54	1.0_pep45	0	1
221	2	14	54	1.0_pep43	0	1
222	2	15	54	Cal2	0	1
223	2	16	54	0.5_pep9	0	1
224	2	1	55	1.0_pep12	0	1
225	2	2	55	0.25_pep46	0	1
226	2	3	55	0.25_pep54	0	1
227	2	4	55	NO	0	1
228	2	5	55	Puffer	0	1
229	2	6	55	DYE050	0	1
230	2	7	55	0.25_pep60	0	1
231	2	8	55	Cal2	0	1
232	2	9	55	Puffer	0	1
233	2	10	55	1.0_pep59	0	1
234	2	11	55	0.25_pep39	0	1
235	2	12	55	P012-025	0	1
236	2	13	55	Puffer	0	1
237	2	14	55	1.0_pep61	0	1
238	2	15	55	1.0_pep58	0	1
239	2	16	55	Puffer	0	1
240	2	1	56	0.5_pep14	0	1
241	2	2	56	DYE100	0	1
242	2	3	56	1.0_pep57	0	1
243	2	4	56	0.5_pep6	0	1
244	2	5	56	NO	0	1
245	2	6	56	KLOA025	0	1
246	2	7	56	1.0_AK_28665	0	1
247	2	8	56	0.5_pep37	0	1
248	2	9	56	0.5_pep49	0	1
249	2	10	56	Wasser	0	1
250	2	11	56	0.5_Ak_28666	0	1
251	2	12	56	0.5_pep47	0	1
252	2	13	56	0.5_pep58	0	1
253	2	14	56	0.25_AK_28665	0	1
254	2	15	56	1.0_pep54	0	1
255	2	16	56	Puffer	0	1
256	2	1	57	1.0_pep9	0	1
257	2	2	57	0.25_pep45	0	1
258	2	3	57	DYE025	0	1
259	2	4	57	0.25_pep61	0	1
260	2	5	57	0.5_pep8	0	1
261	2	6	57	0.25_pep59	0	1
262	2	7	57	0.25_pep37	0	1
263	2	8	57	Wasser	0	1
264	2	9	57	NO	0	1
265	2	10	57	0.5_pep63	0	1
266	2	11	57	0.25_pep56	0	1
267	2	12	57	0.25_pep57	0	1
268	2	13	57	NO	0	1
269	2	14	57	P012-05	0	1
