raw_spot__row	1	2	3	4	5	6	7	8	9	10	11	12
1	0.694	0.986	0.608	0.558	0.339	0.371	0.23	0.216	0.154	0.152	0.333	0.506
2	0.551	0.524	0.412	0.319	0.25	0.19	0.224	0.192	0.159	0.131	0.089	0.379
3	0.904	0.424	0.278	0.266	0.409	0.289	0.401	0.408	0.199	0.224	0.699	0.173
4	0.709	0.413	0.286	0.185	0.252	0.23	0.208	0.289	0.196	0.161	0.078	0.24
5	0.501	0.466	0.131	0.172	0.168	0.226	0.166	0.239	0.1	0.775	0.318	0.146
6	0.249	0.22	0.185	0.173	0.124	0.12	0.176	0.205	0.089	0.115	0.119	0.225
7	0.262	0.112	0.066	0.222	0.103	0.066	0.155	0.109	0.046	0.072	0.051	0.096
8	0.176	0.132	0.298	0.12	0.121	0.126	0.418	0.088	0.067	0.064	0.084	0.147
