ID	Row	Column	Name	Block
79	7	8	*PBS-Mock-Allantois-1-0.0546875*	1
80	7	9	*PBS-Mock-Allantois-1-0.0275590551*	1
81	7	10	*PBS-Mock-Allantois-1-0.01953125*	1
82	7	11	*PBS-Mock-Allantois-1-0.009765625*	1
83	7	12	*PBS-Mock-Allantois-1-0.0047984645*	1
84	8	1	*PBS-Mock-Allantois-1-1.0*	1
85	8	2	*PBS-Mock-Allantois-1-0.5*	1
86	8	3	*PBS-Mock-Allantois-1-0.25*	1
87	8	4	*PBS-Mock-Allantois-1-0.5*	1
88	8	5	*PBS-Mock-Allantois-1-0.25*	1
89	8	6	*PBS-Mock-Allantois-1-0.125*	1
90	8	7	*PBS-Mock-Allantois-1-0.109375*	1
91	8	8	*PBS-Mock-Allantois-1-0.0546875*	1
92	8	9	*PBS-Mock-Allantois-1-0.0275590551*	1
93	8	10	*PBS-Mock-Allantois-1-0.01953125*	1
94	8	11	*PBS-Mock-Allantois-1-0.009765625*	1
95	8	12	*PBS-Mock-Allantois-1-0.0047984645*	1
