	id	process	step	index	user	start	finish	comment	image	intensities	image_hash	collection_id
0	132	S01-I01	S01	0	hmemczak	2017-05-09 16:00:00+00:00	2017-05-10 14:00:00+00:00					170509-00
1	133	S01-I01	I01	1	hmemczak	2017-05-09 16:00:00+00:00	2017-05-10 14:00:00+00:00					170509-00
