raw_spot__row	1	2	3	4	5	6	7	8	9	10	11	12
1	0.383	0.432	0.506	0.358	0.246	0.185	0.169	0.226	0.141	0.139	0.152	0.226
2	0.595	0.357	0.527	0.163	0.136	0.171	0.119	0.13	0.08	0.147	0.065	0.173
3	0.771	0.339	0.546	0.202	0.134	0.156	0.132	0.143	0.074	0.073	0.107	0.156
4	0.457	0.929	0.923	0.413	0.767	0.161	0.094	0.116	0.08	0.082	0.057	0.157
5	0.505	0.389	0.627	0.74	0.579	0.184	0.154	0.239	0.109	0.091	0.102	0.169
6	0.358	0.352	0.416	0.654	0.322	0.185	0.172	0.167	0.129	0.112	0.083	0.182
7	0.992	0.429	0.218	0.211	0.13	0.144	0.108	0.097	0.083	0.056	0.146	0.166
8	0.534	0.981	0.419	0.246	0.115	0.19	0.121	0.107	0.099	0.209	0.144	0.315
