raw_spot__row	1	2	3	4	5	6	7	8	9	10	11	12
1	1.779	0.985	1.342	0.936	0.863	0.812	0.788	0.849	0.964	0.769	0.48	0.305
2	2.146	1.177	1.581	0.864	0.77	0.735	0.686	0.811	0.925	0.719	0.455	0.233
3	2.136	1.515	1.245	0.976	0.889	0.742	0.73	0.986	0.961	0.633	0.294	0.275
4	2.068	1.549	1.326	0.944	0.707	0.771	0.794	1.008	0.997	0.69	0.372	0.19
5	2.772	1.954	1.213	0.792	0.761	0.83	0.856	0.717	0.428	0.245	0.169	0.156
6	2.779	1.911	1.179	0.764	0.713	0.816	0.923	0.712	0.489	0.244	0.176	0.139
7	0.127	0.092	0.066	0.1	0.077	0.084	0.095	0.097	0.07	0.072	0.078	0.129
8	0.153	0.213	0.182	0.177	0.2	0.126	0.183	0.093	0.152	0.118	0.097	0.2
