Row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	1077753	827944	716901	708357	719472	754136	1550570	1625762	1033152	792629	630041	659959	1045990	656612	969923
2	22139290	1434468	2468208	834744	1141900	906522	1772182	2713291	2478054	805719	926811	16721245	21276895	897723	36122108
3	1075297	1134948	1880202	750746	900992	1252162	3090909	1632141	1547395	854319	1184769	909080	1932180	8974200	570084
4	1192182	806867	3018401	914330	1319396	2046489	839774	8699559	1197990	841999	17608303	19639041	1070749	47101119	775680
5	1131458	886482	1768669	1455528	1434184	1497195	1154237	754430	1186171	1136607	989495	1765603	1142557	7435798	820869
6	561090	1974190	2045935	1009319	641057	1631761	9939822	661498	1437319	1924804	831009	1250084	1412799	992605	986560
7	537949	689678	1114734	841203	784102	749764	545411	512990	782146	636423	779812	883403	972605	1185660	2196617
8	568424	697440	2323913	2242176	1813798	5396276	893932	1614180	634425	786176	1459868	1444148	838436	924228	19403274
9	25055281	1722954	51503558	1026510	1061121	2248188	570622	579528	650164	1807706	728027	1059080	657648	1464806	1337173
10	1666610	4445686	2626735	1183389	837896	2274344	778492	461065	639297	631222	6975574	987552	593492	22629373	29762986
11	1333885	33668538	508133	1009611	961398	1951646	842176	2002302	1048674	749251	834225	760069	1600086	984072	1188648
12	564035	841617	458962	547045	2889884	1781008	736487	436321	1655616	2206288	961063	1273846	2752273	1150492	874380
13	1097991	358761	386692	631349	568776	618540	987248	532278	1598600	1174729	674913	1167754	1266134	762296	645541
14	381560	341158	330187	436851	557699	725662	2059951	1701261	4195142	910936	2241350	640817	1156825	1656222	1778325
15	458537	551287	16820320	21030637	1232853	56313362	842890	814238	2177095	551478	961105	917159	2048953	1024978	1098985
16	329396	736248	1730448	1655140	1643619	745271	1061592	780905	3432818	701736	930826	1850499	728444	9842248	1058212
17	408195	17082716	21568246	611027	54455153	1004945	1091888	940064	1348025	611418	1294073	948260	791660	1091656	805467
18	600428	689318	765025	1452272	12875811	595838	472365	3672520	3403239	617326	467102	1332316	1004041	1115712	1215513
19	2090725	965411	433467	1228920	410809	399753	355503	332689	633271	435117	409793	1539690	577628	860093	689602
20	483137	607306	498725	498071	422790	371080	370950	376335	496197	2543240	1181671	2698076	638410	1437514	491924
21	715696	694631	991804	485862	556285	24666747	36349191	1080983	48233252	576388	772752	2081938	673564	636703	483054
22	1464429	616363	805710	395016	695988	1617179	2717363	848234	487874	949429	603268	1860229	568412	698344	596498
23	503184	2212436	1186245	335825	16575786	17434799	580678	44099526	604183	871995	596456	1351080	485564	812690	569351
24	721403	682517	494905	470430	1189882	923688	423481	641866	396850	367668	2307547	2726473	626811	562040	1146107
25	676100	590095	591548	3796123	959028	2729969	537226	412200	496113	349376	490928	601449	577533	674158	842581
26	814694	613922	756107	533436	624328	543801	475443	356391	354975	520292	413675	812522	10065041	1649965	2663126
27	760744	966475	687906	755983	1116967	984448	650488	690692	34895693	5586823	1274835	57000483	663797	832994	2119927
28	783203	739821	816255	1331570	665999	1085352	516343	715666	1389326	1596754	1024550	836721	1031483	605119	1560477
