ID	Unnamed: 0	Block	Row	Column	Name
1	0	1	1	1	LF-0.05
2	1	1	1	2	LF-0.05
3	2	1	1	3	LF-0.05
4	3	1	1	4	LF-0.05
5	4	1	1	5	LF-0.05
6	5	1	1	6	LF-0.05
7	6	1	1	7	LF-0.05
8	7	1	1	8	LF-0.05
9	8	1	1	9	LF-0.05
10	9	1	1	10	LF-0.05
11	10	1	1	11	
12	11	1	1	12	
13	12	1	1	13	
14	13	1	1	14	
15	14	1	1	15	
16	15	1	2	1	P080
17	16	1	2	2	P081
18	17	1	2	3	P082
19	18	1	2	4	P083
20	19	1	2	5	P084
21	20	1	2	6	P086
22	21	1	2	7	P088
23	22	1	2	8	P089
24	23	1	2	9	P090
25	24	1	2	10	LF-0.1
26	25	1	2	11	P091
27	26	1	2	12	P094
28	27	1	2	13	P095
29	28	1	2	14	P096
30	29	1	2	15	P098
31	30	1	3	1	P099
32	31	1	3	2	P100
33	32	1	3	3	P101
34	33	1	3	4	P102
35	34	1	3	5	P103
36	35	1	3	6	LF-0.1
37	36	1	3	7	P104
38	37	1	3	8	P105
39	38	1	3	9	P106
40	39	1	3	10	P007
41	40	1	3	11	P008
42	41	1	3	12	P009
43	42	1	3	13	P010
44	43	1	3	14	P012
45	44	1	3	15	P013
46	45	1	4	1	Nenad
47	46	1	4	2	LF-0.1
48	47	1	4	3	P043
49	48	1	4	4	P044
50	49	1	4	5	P045.3
51	50	1	4	6	P047
52	51	1	4	7	P048
53	52	1	4	8	P050
54	53	1	4	9	P052
55	54	1	4	10	P054
56	55	1	4	11	P055
57	56	1	4	12	P056
58	57	1	4	13	P057
59	58	1	4	14	P059
60	59	1	4	15	P060
61	60	1	5	1	P061
62	61	1	5	2	P063
63	62	1	5	3	P065
64	63	1	5	4	P066
65	64	1	5	5	P067
66	65	1	5	6	P068
67	66	1	5	7	P069
68	67	1	5	8	LF-0.1
69	68	1	5	9	P070
70	69	1	5	10	P071
71	70	1	5	11	P072
72	71	1	5	12	P073
73	72	1	5	13	P074
74	73	1	5	14	P075
75	74	1	5	15	P076
76	75	1	6	1	P077
77	76	1	6	2	P136
78	77	1	6	3	P131.2
79	78	1	6	4	LF-0.1
80	79	1	6	5	P114
81	80	1	6	6	P115
82	81	1	6	7	P131.1
83	82	1	6	8	P132
84	83	1	6	9	P133
85	84	1	6	10	P116
86	85	1	6	11	P134
87	86	1	6	12	P117
88	87	1	6	13	P118
89	88	1	6	14	P119
90	89	1	6	15	P128
91	90	1	7	1	P135
92	91	1	7	2	LF-0.1
93	92	1	7	3	P120
94	93	1	7	4	P121
95	94	1	7	5	P122
96	95	1	7	6	P123
97	96	1	7	7	P124
98	97	1	7	8	P125
99	98	1	7	9	P130
100	99	1	7	10	P127
101	100	1	7	11	LF-0.05
102	101	1	7	12	LF-0.01
103	102	1	7	13	LF-0.001
104	103	1	7	14	LF-0.0001
105	104	1	7	15	LF-0.5
106	105	1	8	1	
107	106	1	8	2	
108	107	1	8	3	
109	108	1	8	4	P080
110	109	1	8	5	P081
111	110	1	8	6	P082
112	111	1	8	7	P083
113	112	1	8	8	P084
114	113	1	8	9	P086
115	114	1	8	10	P088
116	115	1	8	11	P089
117	116	1	8	12	P090
118	117	1	8	13	LF-0.1
119	118	1	8	14	P091
120	119	1	8	15	P094
121	120	1	9	1	P095
122	121	1	9	2	P096
123	122	1	9	3	P098
124	123	1	9	4	P090
125	124	1	9	5	P100
126	125	1	9	6	P101
127	126	1	9	7	P102
128	127	1	9	8	P103
129	128	1	9	9	LF-0.1
130	129	1	9	10	P104
131	130	1	9	11	P105
132	131	1	9	12	P106
133	132	1	9	13	P007
134	133	1	9	14	P008
135	134	1	9	15	P009
136	135	1	10	1	P010
137	136	1	10	2	P012
138	137	1	10	3	P013
139	138	1	10	4	Nenad
140	139	1	10	5	LF-0.1
141	140	1	10	6	P043
142	141	1	10	7	P044
143	142	1	10	8	P045.3
144	143	1	10	9	P047
145	144	1	10	10	P048
146	145	1	10	11	P050
147	146	1	10	12	P052
148	147	1	10	13	P054
149	148	1	10	14	P055
150	149	1	10	15	P056
151	150	1	11	1	P057
152	151	1	11	2	P059
153	152	1	11	3	P060
154	153	1	11	4	P061
155	154	1	11	5	P063
156	155	1	11	6	P065
157	156	1	11	7	P066
158	157	1	11	8	P067
159	158	1	11	9	P068
160	159	1	11	10	P069
161	160	1	11	11	LF-0.1
162	161	1	11	12	P070
163	162	1	11	13	P071
164	163	1	11	14	P072
165	164	1	11	15	P073
166	165	1	12	1	P074
167	166	1	12	2	P075
168	167	1	12	3	P076
169	168	1	12	4	P077
170	169	1	12	5	P136
171	170	1	12	6	P131.2
172	171	1	12	7	LF-0.1
173	172	1	12	8	P114
174	173	1	12	9	P115
175	174	1	12	10	P131.1
176	175	1	12	11	P132
177	176	1	12	12	P133
178	177	1	12	13	P116
179	178	1	12	14	P134
180	179	1	12	15	P117
181	180	1	13	1	P118
182	181	1	13	2	P119
183	182	1	13	3	P128
184	183	1	13	4	P135
185	184	1	13	5	LF-0.1
186	185	1	13	6	P120
187	186	1	13	7	P121
188	187	1	13	8	P122
189	188	1	13	9	P123
190	189	1	13	10	P124
191	190	1	13	11	P125
192	191	1	13	12	P130
193	192	1	13	13	P127
194	193	1	13	14	LF-0.05
195	194	1	13	15	LF-0.01
196	195	1	14	1	LF-0.001
197	196	1	14	2	LF-0.0001
198	197	1	14	3	LF-0.5
199	198	1	14	4	
200	199	1	14	5	
201	200	1	14	6	
202	201	1	14	7	P080
203	202	1	14	8	P081
204	203	1	14	9	P082
205	204	1	14	10	P083
206	205	1	14	11	P084
207	206	1	14	12	P086
208	207	1	14	13	P088
209	208	1	14	14	P089
210	209	1	14	15	P090
211	210	1	15	1	LF-0.1
212	211	1	15	2	P091
213	212	1	15	3	P094
214	213	1	15	4	P095
215	214	1	15	5	P096
216	215	1	15	6	P098
217	216	1	15	7	P090
218	217	1	15	8	P100
219	218	1	15	9	P101
220	219	1	15	10	P102
221	220	1	15	11	P103
222	221	1	15	12	LF-0.1
223	222	1	15	13	P104
224	223	1	15	14	P105
225	224	1	15	15	P106
226	225	1	16	1	P007
227	226	1	16	2	P008
228	227	1	16	3	P009
229	228	1	16	4	P010
230	229	1	16	5	P012
231	230	1	16	6	P013
232	231	1	16	7	Nenad
233	232	1	16	8	LF-0.1
234	233	1	16	9	P043
235	234	1	16	10	P044
236	235	1	16	11	P045.3
237	236	1	16	12	P047
238	237	1	16	13	P048
239	238	1	16	14	P050
240	239	1	16	15	P052
241	240	1	17	1	P054
242	241	1	17	2	P055
243	242	1	17	3	P056
244	243	1	17	4	P057
245	244	1	17	5	P059
246	245	1	17	6	P060
247	246	1	17	7	P061
248	247	1	17	8	P063
249	248	1	17	9	P065
250	249	1	17	10	P066
251	250	1	17	11	P067
252	251	1	17	12	P068
253	252	1	17	13	P069
254	253	1	17	14	LF-0.1
255	254	1	17	15	P070
256	255	1	18	1	P071
257	256	1	18	2	P072
258	257	1	18	3	P073
259	258	1	18	4	P074
260	259	1	18	5	P075
261	260	1	18	6	P076
262	261	1	18	7	P077
263	262	1	18	8	P136
264	263	1	18	9	P131.2
265	264	1	18	10	LF-0.1
266	265	1	18	11	P114
267	266	1	18	12	P115
268	267	1	18	13	P131.1
269	268	1	18	14	P132
270	269	1	18	15	P133
271	270	1	19	1	P116
272	271	1	19	2	P134
273	272	1	19	3	P117
274	273	1	19	4	P118
275	274	1	19	5	P119
276	275	1	19	6	P128
277	276	1	19	7	P135
278	277	1	19	8	LF-0.1
279	278	1	19	9	P120
280	279	1	19	10	P121
281	280	1	19	11	P122
282	281	1	19	12	P123
283	282	1	19	13	P124
284	283	1	19	14	P125
285	284	1	19	15	P130
286	285	1	20	1	P127
287	286	1	20	2	LF-0.05
288	287	1	20	3	LF-0.01
289	288	1	20	4	LF-0.001
290	289	1	20	5	LF-0.0001
291	290	1	20	6	LF-0.5
292	291	1	20	7	
293	292	1	20	8	
294	293	1	20	9	
295	294	1	20	10	P080
