ID	Block	Row	Column	Name	row_factor	column_factor
0	1	1	1	Ach1	0	0
1	1	2	1	Ach1	0	0
2	1	3	1	Ach1	0	0
3	1	4	1	Ach1	0	0
4	1	5	1	Ach1	0	0
5	1	6	1	Ach1	0	0
6	1	7	1	Ach1	0	0
7	1	8	1	Ach1	0	0
8	1	9	1	Ach1	0	0
9	1	10	1	Ach1	0	0
10	1	11	1	Ach1	0	0
11	1	12	1	Ach1	0	0
12	1	13	1	Ach1	0	0
13	1	14	1	Ach1	0	0
14	1	15	1	Ach1	0	0
15	1	16	1	Ach1	0	0
16	1	1	2	Ach1	0	0
17	1	2	2	Ach1	0	0
18	1	3	2	Ach1	0	0
19	1	4	2	Ach1	0	0
20	1	5	2	Ach1	0	0
21	1	6	2	Ach1	0	0
22	1	7	2	Ach1	0	0
23	1	8	2	Ach1	0	0
24	1	9	2	Ach1	0	0
25	1	10	2	Ach1	0	0
26	1	11	2	Ach1	0	0
27	1	12	2	Ach1	0	0
28	1	13	2	Ach1	0	0
29	1	14	2	Ach1	0	0
30	1	15	2	Ach1	0	0
31	1	16	2	Ach1	0	0
32	1	1	3	Ach1	0	0
33	1	2	3	Ach1	0	0
34	1	3	3	Ach1	0	0
35	1	4	3	Ach1	0	0
36	1	5	3	Ach1	0	0
37	1	6	3	Ach1	0	0
38	1	7	3	Ach1	0	0
39	1	8	3	Ach1	0	0
40	1	9	3	Ach1	0	0
41	1	10	3	Ach1	0	0
42	1	11	3	Ach1	0	0
43	1	12	3	Ach1	0	0
44	1	13	3	Ach1	0	0
45	1	14	3	Ach1	0	0
46	1	15	3	Ach1	0	0
47	1	16	3	Ach1	0	0
48	1	1	4	Ach1	0	0
49	1	2	4	Ach1	0	0
50	1	3	4	Ach1	0	0
51	1	4	4	Ach1	0	0
52	1	5	4	Ach1	0	0
53	1	6	4	Ach1	0	0
54	1	7	4	Ach1	0	0
55	1	8	4	Ach1	0	0
56	1	9	4	Ach1	0	0
57	1	10	4	Ach1	0	0
58	1	11	4	Ach1	0	0
59	1	12	4	Ach1	0	0
60	1	13	4	Ach1	0	0
61	1	14	4	Ach1	0	0
62	1	15	4	Ach1	0	0
63	1	16	4	Ach1	0	0
64	1	1	5	Ach1	0	0
65	1	2	5	Ach1	0	0
66	1	3	5	Ach1	0	0
67	1	4	5	Ach1	0	0
68	1	5	5	Ach1	0	0
69	1	6	5	Ach1	0	0
70	1	7	5	Ach1	0	0
71	1	8	5	Ach1	0	0
72	1	9	5	Ach1	0	0
73	1	10	5	Ach1	0	0
74	1	11	5	Ach1	0	0
75	1	12	5	Ach1	0	0
76	1	13	5	Ach1	0	0
77	1	14	5	Ach1	0	0
78	1	15	5	Ach1	0	0
79	1	16	5	Ach1	0	0
80	1	1	6	Ach1	0	0
81	1	2	6	Ach1	0	0
82	1	3	6	Ach1	0	0
83	1	4	6	Ach1	0	0
84	1	5	6	Ach1	0	0
85	1	6	6	Ach1	0	0
86	1	7	6	Ach1	0	0
87	1	8	6	Ach1	0	0
88	1	9	6	Ach1	0	0
89	1	10	6	Ach1	0	0
90	1	11	6	Ach1	0	0
91	1	12	6	Ach1	0	0
92	1	13	6	Ach1	0	0
93	1	14	6	Ach1	0	0
94	1	15	6	Ach1	0	0
95	1	16	6	Ach1	0	0
96	1	1	7	Ach1	0	0
97	1	2	7	Ach1	0	0
98	1	3	7	Ach1	0	0
99	1	4	7	Ach1	0	0
100	1	5	7	Ach1	0	0
101	1	6	7	Ach1	0	0
102	1	7	7	Ach1	0	0
103	1	8	7	Ach1	0	0
104	1	9	7	Ach1	0	0
105	1	10	7	Ach1	0	0
106	1	11	7	Ach1	0	0
107	1	12	7	Ach1	0	0
108	1	13	7	Ach1	0	0
109	1	14	7	Ach1	0	0
110	1	15	7	Ach1	0	0
111	1	16	7	Ach1	0	0
112	1	1	8	Ach1	0	0
113	1	2	8	Ach1	0	0
114	1	3	8	Ach1	0	0
115	1	4	8	Ach1	0	0
116	1	5	8	Ach1	0	0
117	1	6	8	Ach1	0	0
118	1	7	8	Ach1	0	0
119	1	8	8	Ach1	0	0
120	1	9	8	Ach1	0	0
121	1	10	8	Ach1	0	0
122	1	11	8	Ach1	0	0
123	1	12	8	Ach1	0	0
124	1	13	8	Ach1	0	0
125	1	14	8	Ach1	0	0
126	1	15	8	Ach1	0	0
127	1	16	8	Ach1	0	0
128	1	1	9	Ach1	0	0
129	1	2	9	Ach1	0	0
130	1	3	9	Ach1	0	0
131	1	4	9	Ach1	0	0
132	1	5	9	Ach1	0	0
133	1	6	9	Ach1	0	0
134	1	7	9	Ach1	0	0
135	1	8	9	Ach1	0	0
136	1	9	9	Ach1	0	0
137	1	10	9	Ach1	0	0
138	1	11	9	Ach1	0	0
139	1	12	9	Ach1	0	0
140	1	13	9	Ach1	0	0
141	1	14	9	Ach1	0	0
142	1	15	9	Ach1	0	0
143	1	16	9	Ach1	0	0
144	1	1	10	Ach1	0	0
145	1	2	10	Ach1	0	0
146	1	3	10	Ach1	0	0
147	1	4	10	Ach1	0	0
148	1	5	10	Ach1	0	0
149	1	6	10	Ach1	0	0
150	1	7	10	Ach1	0	0
151	1	8	10	Ach1	0	0
152	1	9	10	Ach1	0	0
153	1	10	10	Ach1	0	0
154	1	11	10	Ach1	0	0
155	1	12	10	Ach1	0	0
156	1	13	10	Ach1	0	0
157	1	14	10	Ach1	0	0
158	1	15	10	Ach1	0	0
159	1	16	10	Ach1	0	0
160	2	1	211	Ach1	0	1
161	2	2	211	Ach1	0	1
162	2	3	211	Ach1	0	1
163	2	4	211	Ach1	0	1
164	2	5	211	Ach1	0	1
165	2	6	211	Ach1	0	1
166	2	7	211	Ach1	0	1
167	2	8	211	Ach1	0	1
168	2	9	211	Ach1	0	1
169	2	10	211	Ach1	0	1
170	2	11	211	Ach1	0	1
171	2	12	211	Ach1	0	1
172	2	13	211	Ach1	0	1
173	2	14	211	Ach1	0	1
174	2	15	211	Ach1	0	1
175	2	16	211	Ach1	0	1
176	2	1	212	Ach1	0	1
177	2	2	212	Ach1	0	1
178	2	3	212	Ach1	0	1
179	2	4	212	Ach1	0	1
180	2	5	212	Ach1	0	1
181	2	6	212	Ach1	0	1
182	2	7	212	Ach1	0	1
183	2	8	212	Ach1	0	1
184	2	9	212	Ach1	0	1
185	2	10	212	Ach1	0	1
186	2	11	212	Ach1	0	1
187	2	12	212	Ach1	0	1
188	2	13	212	Ach1	0	1
189	2	14	212	Ach1	0	1
190	2	15	212	Ach1	0	1
191	2	16	212	Ach1	0	1
192	2	1	213	Ach1	0	1
193	2	2	213	Ach1	0	1
194	2	3	213	Ach1	0	1
195	2	4	213	Ach1	0	1
196	2	5	213	Ach1	0	1
197	2	6	213	Ach1	0	1
198	2	7	213	Ach1	0	1
199	2	8	213	Ach1	0	1
200	2	9	213	Ach1	0	1
201	2	10	213	Ach1	0	1
202	2	11	213	Ach1	0	1
203	2	12	213	Ach1	0	1
204	2	13	213	Ach1	0	1
205	2	14	213	Ach1	0	1
206	2	15	213	Ach1	0	1
207	2	16	213	Ach1	0	1
208	2	1	214	Ach1	0	1
209	2	2	214	Ach1	0	1
210	2	3	214	Ach1	0	1
211	2	4	214	Ach1	0	1
212	2	5	214	Ach1	0	1
213	2	6	214	Ach1	0	1
214	2	7	214	Ach1	0	1
215	2	8	214	Ach1	0	1
216	2	9	214	Ach1	0	1
217	2	10	214	Ach1	0	1
218	2	11	214	Ach1	0	1
219	2	12	214	Ach1	0	1
220	2	13	214	Ach1	0	1
221	2	14	214	Ach1	0	1
222	2	15	214	Ach1	0	1
223	2	16	214	Ach1	0	1
224	2	1	215	Ach1	0	1
225	2	2	215	Ach1	0	1
226	2	3	215	Ach1	0	1
227	2	4	215	Ach1	0	1
228	2	5	215	Ach1	0	1
229	2	6	215	Ach1	0	1
230	2	7	215	Ach1	0	1
231	2	8	215	Ach1	0	1
232	2	9	215	Ach1	0	1
233	2	10	215	Ach1	0	1
234	2	11	215	Ach1	0	1
235	2	12	215	Ach1	0	1
236	2	13	215	Ach1	0	1
237	2	14	215	Ach1	0	1
238	2	15	215	Ach1	0	1
239	2	16	215	Ach1	0	1
240	2	1	216	Ach1	0	1
