raw_spot__row	1	2	3	4	5	6	7	8	9	10	11	12
1	1.715	1.672	1.572	1.806	1.857	2.021	2.019	2.062	1.868	1.692	1.773	1.33
2	1.574	2.17	1.128	1.464	1.665	1.784	1.917	2.18	2.291	2.077	1.766	1.415
3	3.277	3.302	3.283	3.238	3.235	3.24	3.158	3.072	2.971	2.575	2.171	1.642
4	3.222	3.308	3.245	3.194	3.134	3.104	3.091	3.038	3.013	2.667	2.293	2.014
5	3.175	3.077	3.048	2.848	2.788	2.737	2.691	2.573	2.276	1.951	1.688	1.214
6	2.967	2.941	2.525	2.838	2.814	2.778	2.715	2.52	2.296	2.023	1.756	1.395
7	0.989	0.221	0.209	0.135	0.154	0.125	0.084	0.082	0.069	0.065	0.058	0.092
8	0.83	0.143	0.139	0.176	0.137	0.114	0.111	0.107	0.088	0.097	0.096	0.167
