,sid,concentration,labeling,buffer,ph,purity,produced_by,comment,ligand
130,0.5_Fetuin,0.5,,,,,,,Fetuin
131,0.25_Fetuin,0.25,,,,,,,Fetuin
132,1.0_Christian,1.0,,,,,,,Christian
133,0.5_Christian,0.5,,,,,,,Christian
134,0.25_Christian,0.25,,,,,,,Christian
135,Aichi,,,,,,,,
136,Aichi,,,,,,,,
137,Aichi,,,,,,,,
138,California,,,,,,,,
139,California,,,,,,,,
140,California,,,,,,,,
141,Panama,,,,,,,,
142,Panama,,,,,,,,
143,Panama,,,,,,,,
