	id	process	step	index	user	start	finish	comment	image	intensities
			S03	0						
			SC001	1				Wavelength: 635 Intensity: 600 Gain:100	E7_(=E1)_170725_600_100_635.jpg	
			SC001	2				Wavelength: 532 Intensity: 600 Gain:100	E7_(=E1)_170725_600_100_532.jpg	
			W004	3						
			I01	4						
			SC001	5				Wavelength: 635 Intensity: 600 Gain:100	E7_(=E1)_170801_600_100_635_X31CalPan.jpg	
			SC001	6				Wavelength: 532 Intensity: 600 Gain:100	E7_(=E1)_170801_600_100_532_X31CalPan.jpg	
			W004	7						
			SC001	8				Wavelength: 635 Intensity: 500 Gain:50	E7_500_50 nach erneuten waschen_alle_farben.jpg	
