raw_spot__row	1	2	3	4	5	6	7	8	9	10	11	12
1	3.232	2.824	2.739	2.41	2.038	1.829	1.505	1.693	1.834	1.609	1.264	0.836
2	3.309	3.002	2.807	2.243	2.409	1.646	1.494	1.661	1.848	1.829	1.196	0.944
3	3.5	3.5	3.37	2.856	2.3	2.112	2.18	1.845	1.234	0.78	0.479	0.355
4	3.488	3.396	3.336	2.819	2.181	1.998	2.115	1.957	1.164	0.769	0.465	0.371
5	3.018	2.885	2.124	1.459	1.077	0.856	1.099	1.05	0.951	0.625	0.456	0.221
6	3.224	2.665	1.936	1.43	1.052	0.918	1.027	1.174	0.95	0.623	0.429	0.246
7	0.52	2.315	0.156	0.095	0.091	0.079	0.16	0.151	0.063	0.097	0.084	0.159
8	1.037	0.449	0.384	0.232	0.132	0.158	0.163	0.156	0.102	0.127	0.24	0.267
