sid	labeling	concentration	concentration_unit	buffer	ph	purity	produced_by	production_date	comment	stock	ligand
P092		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P092
P093		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P093
P094		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P094
P095		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P095
P096		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P096
P097		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P097
P098		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P098
P099		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P099
P100		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P100
P101		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P101
P102		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P102
P103		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P103
P104		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P104
P105		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P105
P106		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P106
P107		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P107
P108		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P108
P109		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P109
P110		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P110
P111		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P111
P112		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P112
P113		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P113
P114		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P114
P115		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P115
P116		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P116
P117		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P117
P118		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P118
P119		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P119
P120		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P120
P121		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P121
P122		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P122
P123		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P123
P124		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P124
P125		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P125
P126		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P126
P127		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P127
P128		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P128
P129		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P129
P130		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P130
P131.1		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P131.1
P131.2		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P131.2
P132		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P132
P133		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P133
P134		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P134
P135		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P135
P136		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P136
Nenad		1	Stock 1	Natriumhydrogencarbonat			Bay			True	Nenad
